fecha,partido,apuesta,cuota,p_modelo,edge,importe,gano,banca
2022-11-22,France - Australia,VISITANTE,13.69,0.1346,0.8424,0.48,False,28.44
2022-11-22,Argentina - Saudi Arabia,EMPATE,9.08,0.1828,0.6596,0.58,False,27.86
2022-11-22,Argentina - Saudi Arabia,VISITANTE,25.5,0.0765,0.9499,0.27,True,34.48
2022-11-22,Denmark - Tunisia,EMPATE,3.82,0.3071,0.173,0.53,True,35.97
2022-11-22,Denmark - Tunisia,VISITANTE,6.45,0.3406,1.1969,1.8,False,34.17
2022-11-23,Morocco - Croatia,VISITANTE,2.21,0.4794,0.0595,0.42,False,33.75
2022-11-23,Germany - Japan,EMPATE,4.85,0.2751,0.3342,0.73,False,33.02
2022-11-23,Germany - Japan,VISITANTE,7.17,0.2055,0.4733,0.63,True,36.93
2022-11-23,Spain - Costa Rica,EMPATE,8.33,0.229,0.9076,1.14,False,35.78
2022-11-23,Spain - Costa Rica,VISITANTE,17.4,0.1362,1.3696,0.75,False,35.04
2022-11-23,Belgium - Canada,LOCAL,1.57,0.6616,0.0387,0.6,True,35.38
2022-11-24,Switzerland - Cameroon,VISITANTE,4.95,0.214,0.0595,0.13,False,35.24
2022-11-24,Uruguay - South Korea,EMPATE,3.46,0.299,0.0345,0.12,True,35.55
2022-11-24,Uruguay - South Korea,VISITANTE,4.94,0.2523,0.2464,0.56,False,34.99
2022-11-24,Portugal - Ghana,EMPATE,5.38,0.2268,0.2202,0.44,False,34.55
2022-11-24,Portugal - Ghana,VISITANTE,10.4,0.1325,0.378,0.35,False,34.2
2022-11-24,Brazil - Serbia,EMPATE,4.46,0.2368,0.0561,0.14,False,34.06
2022-11-25,England - United States,EMPATE,4.14,0.2557,0.0584,0.16,True,34.56
2022-11-25,England - United States,VISITANTE,7.69,0.1857,0.428,0.55,False,34.01
2022-11-25,Netherlands - Ecuador,LOCAL,1.83,0.6162,0.1276,1.31,False,32.7
2022-11-25,Qatar - Senegal,LOCAL,5.44,0.4899,1.6649,1.64,False,31.07
2022-11-25,Wales - Iran,VISITANTE,3.76,0.5007,0.8827,1.55,True,35.35
2022-11-26,Poland - Saudi Arabia,EMPATE,3.54,0.3178,0.1249,0.43,False,34.92
2022-11-26,Poland - Saudi Arabia,VISITANTE,5.45,0.3413,0.86,1.69,False,33.23
