torneo,anio,n,rmse_baseline,logloss_baseline,acc_baseline,exacto_baseline,top3_baseline,n_baseline,rmse_adoptado,logloss_adoptado,acc_adoptado,exacto_adoptado,top3_adoptado,n_adoptado
Gold Cup,2015,26,1.2151115880118093,1.1002266907781428,0.38461538461538464,0.23076923076923078,0.4230769230769231,26,1.2172143964065958,1.0978767683750617,0.38461538461538464,0.23076923076923078,0.4230769230769231,26
Gold Cup,2017,25,1.0245504497814597,0.9053246963596354,0.6,0.2,0.44,25,1.0091606562803752,0.8917237633181293,0.6,0.2,0.44,25
Gold Cup,2019,31,1.4892306758545826,0.7968236236923326,0.6774193548387096,0.06451612903225806,0.2903225806451613,31,1.4954282543167197,0.7920402010172061,0.6774193548387096,0.0967741935483871,0.2903225806451613,31
Gold Cup,2021,31,1.0464536852287416,0.7028331149603345,0.8064516129032258,0.1935483870967742,0.45161290322580644,31,1.0412927288693783,0.6991593499309762,0.8387096774193549,0.1935483870967742,0.3870967741935484,31
Gold Cup,2023,31,1.5013286014074516,1.0043233012140529,0.5161290322580645,0.03225806451612903,0.22580645161290322,31,1.4996259681895754,1.001723447032913,0.5483870967741935,0.03225806451612903,0.1935483870967742,31
Gold Cup,2025,31,1.2168433059808823,0.9020880302909708,0.6129032258064516,0.0967741935483871,0.5161290322580645,31,1.211829695357285,0.905000038881897,0.6129032258064516,0.0967741935483871,0.45161290322580644,31
UEFA Euro,1996,31,1.1075370183479714,1.0474679853497522,0.4838709677419355,0.0967741935483871,0.5161290322580645,31,1.1144032681989295,1.049966981880419,0.4838709677419355,0.16129032258064516,0.5161290322580645,31
UEFA Euro,2000,31,1.202106211020027,1.0668813782486588,0.5161290322580645,0.03225806451612903,0.1935483870967742,31,1.2118753003865397,1.0858938540618512,0.5161290322580645,0.03225806451612903,0.1935483870967742,31
UEFA Euro,2004,31,1.168041964869196,1.1473007963062054,0.45161290322580644,0.06451612903225806,0.3548387096774194,31,1.1455523558936593,1.1188470517128652,0.3870967741935484,0.06451612903225806,0.2903225806451613,31
UEFA Euro,2008,31,1.043640152305795,0.9829796529177462,0.5806451612903226,0.16129032258064516,0.3548387096774194,31,1.057733911496629,1.0046163366021195,0.4838709677419355,0.16129032258064516,0.3548387096774194,31
UEFA Euro,2012,31,1.0506509644635909,1.0450500591072125,0.5161290322580645,0.12903225806451613,0.3225806451612903,31,1.0220852586957876,1.0153409356680854,0.5806451612903226,0.12903225806451613,0.3225806451612903,31
UEFA Euro,2016,51,1.0708164072012378,1.138783827275107,0.37254901960784315,0.13725490196078433,0.4117647058823529,51,1.042144423508441,1.115204668227019,0.43137254901960786,0.1568627450980392,0.39215686274509803,51
UEFA Euro,2021,51,1.1632320075429543,0.9635567639014341,0.5490196078431373,0.17647058823529413,0.35294117647058826,51,1.1636426515401954,0.963332708402681,0.5686274509803921,0.17647058823529413,0.35294117647058826,51
UEFA Euro,2024,51,0.963289485679966,1.0174321195389564,0.49019607843137253,0.11764705882352941,0.37254901960784315,51,0.9674654930947771,1.0260136545906178,0.47058823529411764,0.11764705882352941,0.47058823529411764,51
