fecha,equipo_local,equipo_visitante,prob_local,prob_empate,prob_visitante,cuota_local,cuota_empate,cuota_visitante,resultado_1x2_real
2018-06-28,Japan,Poland,0.7852368934148447,0.1483028323281696,0.0664602742569856,2.96,3.15,2.67,VISITANTE
2018-06-28,Panama,Tunisia,0.4093153932081653,0.2783726915609761,0.3123119152308584,4.34,3.73,1.88,VISITANTE
2018-06-28,England,Belgium,0.5637757623344892,0.2510388643146083,0.1851853733509023,2.46,2.85,3.67,VISITANTE
2018-06-30,Uruguay,Portugal,0.264684852517251,0.2929377039541535,0.4423774435285955,3.05,2.98,2.74,LOCAL
2018-06-30,France,Argentina,0.371934194555381,0.2965132447885613,0.3315525606560576,2.43,3.12,3.33,LOCAL
2018-07-01,Russia,Spain,0.1889947124464428,0.2685790292754437,0.5424262582781134,6.33,4.1,1.59,EMPATE
2018-07-01,Croatia,Denmark,0.5851925881841756,0.2601643361760072,0.1546430756398171,1.99,3.22,4.61,EMPATE
2018-07-02,Brazil,Mexico,0.5700332372440161,0.2632255294393812,0.1667412333166025,1.49,4.44,7.61,LOCAL
2018-07-02,Belgium,Japan,0.5063474583455726,0.2873222996252936,0.2063302420291338,1.43,4.71,8.58,LOCAL
2018-07-03,Sweden,Switzerland,0.3305459791985292,0.3019780446113829,0.3674759761900878,3.37,2.95,2.53,LOCAL
2018-07-03,Colombia,England,0.2072598797317526,0.2536151080336371,0.5391250122346102,4.07,3.11,2.15,EMPATE
2018-07-06,Uruguay,France,0.4199678986788512,0.308649048049119,0.2713830532720296,4.61,3.11,2.01,VISITANTE
2018-07-06,Brazil,Belgium,0.5495556359924207,0.2698247338460685,0.1806196301615107,2.12,3.42,3.69,VISITANTE
2018-07-07,Sweden,England,0.2792283353028734,0.2947303502501606,0.4260413144469659,5.07,3.35,1.85,VISITANTE
2018-07-07,Russia,Croatia,0.1999434778184651,0.2796728043856105,0.5203837177959242,4.03,3.15,2.12,EMPATE
2018-07-10,France,Belgium,0.3249332523985462,0.3048593182140297,0.3702074293874242,2.59,3.13,3.02,LOCAL
2018-07-11,Croatia,England,0.2676829262940948,0.2934540432770638,0.4388630304288413,3.81,2.99,2.28,LOCAL
2018-07-14,Belgium,England,0.3774929028579884,0.2936791659844328,0.3288279311575788,2.2,3.74,3.18,LOCAL
2018-07-15,France,Croatia,0.5920962124715822,0.2571464917099956,0.1507572958184222,2.13,3.09,4.15,LOCAL
2022-11-20,Qatar,Ecuador,0.4886559248017502,0.2712983836876713,0.2400456915105784,3.59,3.11,2.22,VISITANTE
2022-11-21,United States,Wales,0.6796319494290641,0.215851853590953,0.1045161969799828,2.43,3.07,3.17,EMPATE
2022-11-21,England,Iran,0.3722967502945037,0.2844114740178771,0.3432917756876191,1.37,4.56,10.14,LOCAL
2022-11-21,Senegal,Netherlands,0.1393497389386069,0.2155097786952395,0.6451404823661536,5.85,3.63,1.65,VISITANTE
2022-11-22,Argentina,Saudi Arabia,0.7407605095697186,0.1827713215444436,0.0764681688858376,1.11,9.08,25.5,VISITANTE
2022-11-22,Denmark,Tunisia,0.3523293603135043,0.3070652265809957,0.3406054131054999,1.57,3.82,6.45,EMPATE
2022-11-22,Mexico,Poland,0.5327885918860472,0.2762128636263644,0.1909985444875883,2.47,3.09,3.09,EMPATE
2022-11-22,France,Australia,0.6286114390994165,0.2368109148008384,0.134577646099745,1.2,6.58,13.69,LOCAL
2022-11-23,Morocco,Croatia,0.2429323197440515,0.2776392150304709,0.4794284652254776,3.44,3.22,2.21,EMPATE
2022-11-23,Germany,Japan,0.5194181951980658,0.275096351530273,0.2054854532716612,1.41,4.85,7.17,VISITANTE
2022-11-23,Spain,Costa Rica,0.6348087371451461,0.2290091583874187,0.1361821044674351,1.14,8.33,17.4,LOCAL
2022-11-23,Belgium,Canada,0.6616142653654312,0.2109067283230737,0.1274790063114951,1.57,4.16,5.74,LOCAL
2022-11-24,Switzerland,Cameroon,0.4936148839026579,0.2923368612238075,0.2140482548735345,1.8,3.37,4.95,LOCAL
2022-11-24,Uruguay,South Korea,0.4486982776836173,0.2990011720091846,0.252300550307198,1.77,3.46,4.94,EMPATE
2022-11-24,Portugal,Ghana,0.6406944497250765,0.226809634782617,0.1324959154923064,1.29,5.38,10.4,LOCAL
2022-11-24,Brazil,Serbia,0.6273321347053477,0.2367861320756776,0.1358817332189747,1.44,4.46,7.08,LOCAL
2022-11-25,England,United States,0.5586526269918097,0.2556510689196806,0.1856963040885097,1.46,4.14,7.69,EMPATE
2022-11-25,Netherlands,Ecuador,0.6161999443392728,0.2465330785331446,0.1372669771275825,1.83,3.36,4.75,EMPATE
2022-11-25,Qatar,Senegal,0.4898777993092953,0.2756759070131525,0.2344462936775522,5.44,3.55,1.7,VISITANTE
2022-11-25,Wales,Iran,0.2256966473913793,0.2735771161926703,0.5007262364159503,2.11,3.16,3.76,VISITANTE
2022-11-26,Tunisia,Australia,0.545311588735688,0.2630163879978376,0.1916720232664744,2.16,3.27,3.51,VISITANTE
2022-11-26,Poland,Saudi Arabia,0.3409517341581464,0.3177661463492211,0.3412821194926325,1.7,3.54,5.45,LOCAL
2022-11-26,France,Denmark,0.5099225087626509,0.2857725732236946,0.2043049180136543,1.81,3.47,4.67,LOCAL
2022-11-26,Argentina,Mexico,0.6005201121317931,0.2559134449114179,0.1435664429567889,1.52,3.89,7.1,LOCAL
2022-11-27,Japan,Costa Rica,0.6261026553599859,0.231130512600244,0.1427668320397701,1.47,4.15,7.36,VISITANTE
2022-11-27,Belgium,Morocco,0.5599641854642917,0.2641798578088954,0.1758559567268127,1.88,3.35,4.41,VISITANTE
2022-11-27,Croatia,Canada,0.5530827138706512,0.2539138235789901,0.1930034625503586,2.2,3.23,3.47,LOCAL
2022-11-27,Spain,Germany,0.5076540120139227,0.2743137485703449,0.2180322394157323,2.5,3.38,2.79,EMPATE
2022-11-28,Portugal,Uruguay,0.456076111781764,0.2923263974933547,0.2515974907248813,1.92,3.29,4.34,LOCAL
2022-11-28,Cameroon,Serbia,0.1709225951600109,0.2399092627644623,0.5891681420755267,5.17,3.73,1.69,EMPATE
2022-11-28,South Korea,Ghana,0.5002144596865244,0.2976771588083163,0.2021083815051592,2.7,3.07,2.79,VISITANTE
2022-11-28,Brazil,Switzerland,0.6021714464580044,0.2439045903976484,0.1539239631443472,1.47,4.19,7.4,LOCAL
2022-11-29,Qatar,Netherlands,0.2035882523617297,0.2439731779305466,0.5524385697077236,14.61,6.81,1.19,VISITANTE
2022-11-29,Wales,England,0.1081210854827108,0.1943729857552666,0.6975059287620224,8.45,4.35,1.41,VISITANTE
2022-11-29,Iran,United States,0.3850489144878428,0.3054267586352371,0.30952432687692,4.03,3.45,1.93,VISITANTE
2022-11-29,Ecuador,Senegal,0.3430204267812783,0.3088968212547284,0.3480827519639933,2.44,3.01,3.18,VISITANTE
2022-11-30,Tunisia,France,0.2284131814585261,0.2772995919746039,0.4942872265668699,5.84,3.81,1.61,LOCAL
2022-11-30,Australia,Denmark,0.4230569221010112,0.2966152154864158,0.2803278624125729,7.65,4.66,1.4,LOCAL
